34	6
35	6
62	3
82	3
85	3
115	3
151	4
231	5
238	3
247	5
253	5
287	3
324	3
338	3
344	2
350	3
353	3
357	3
371	5
379	3
388	1
394	5
416	5
425	3
447	5
460	3
473	3
502	3
510	3
566	3
571	3
585	5
593	3
613	3
640	3
670	5
675	5
730	5
795	5
827	3
832	3
856	5
884	3
889	3
894	3
926	3
934	5
940	4
948	4
958	4
1007	3
1046	3
1049	3
1064	5
1076	3
1087	5
1130	5
1134	5
1143	3
1151	5
1170	5
1177	5
1184	5
1191	4
1236	5
1273	3
1289	5
1298	3
1315	3
1325	3
1394	5
1399	5
1410	3
1416	4
1427	3
1442	3
1450	4
1465	5
1494	5
1518	3
1522	5
1545	4
1577	3
1585	5
1616	4
1627	5
1640	4
1679	3
1690	5
1723	3
1739	5
1750	3
1758	5
1767	5
1772	5
1782	5
1787	5
1799	3
1811	4
1830	4
1835	5
1850	4
1866	4
1885	4
1914	3
1920	4
1930	5
1938	4
1953	4
1955	4
1993	4
2000	5
2022	5
2030	5
2042	5
2047	5
2055	4
2056	3
2062	3
2068	3
2086	4
2093	1
2095	4
2105	3
2119	4
2125	4
2133	2
2150	4
2191	3
2196	3
2199	3
2215	3
2244	3
2254	3
2266	3
2283	3
2299	5
2312	5
2316	3
2326	3
2377	3
2383	3
2394	4
2399	3
2442	3
2448	3
2450	5
2455	3
2460	3
2489	4
2494	4
2502	4
2511	3
2517	3
2533	5
2537	5
2555	4
2570	5
2578	4
2583	5
2594	3
2597	5
2602	5
2608	4
2617	4
2632	5
2636	5
2641	5
2650	2
2661	3
2671	3
2679	3
2681	5
2688	5
2702	3
2706	4
2719	5
2771	5
2783	5
2798	4
2816	3
2825	3
2836	5
2858	2
2871	5
2889	3
2899	3
2959	3
2964	4
3003	4
3009	3
3026	5
3055	4
3075	5
3107	3
3116	5
3132	2
3156	5
3166	4
3213	3
3219	4
3222	3
3233	3
3239	5
3250	4
3255	4
3283	3
3295	5
3311	5
3331	5
3342	5
3348	3
3354	5
3358	3
3373	5
3378	3
3388	4
3411	3
3416	3
3429	5
3435	4
3445	3
3452	5
3464	3
3469	5
3475	4
3480	4
3507	3
3512	4
3523	4
3527	5
3539	5
3551	5
3555	5
3563	3
3566	4
3583	3
3596	5
3605	5
3621	6
3622	6
3630	5
3636	3
3643	5
3659	5
3670	5
3681	4
3684	4
3692	5
3702	5
3714	4
3720	4
3725	5
3736	5
3745	3
3762	5
3776	4
